ANO;TITULO;AUTORES
1989;O Círculo Dos Nove Pontos;Plácido Rogerio Pinheiro
1990;Um Estudo Sobre As Perdas Em Barras De Ferro Através Da Programação Linear;Plácido Rogerio Pinheiro
1990;Um Estudo Sobre As Perdas Em Barras De Ferro Através Da Programação Linear;Humberto Jansen
1991;Técnicas Alternativas Para Resolução De Um Problema De Programação Linear;Plácido Rogerio Pinheiro
1991;Técnicas Alternativas Para Resolução De Um Problema De Programação Linear;Adriana Carlos Paz
1991;Técnicas Alternativas Para Resolução De Um Problema De Programação Linear;Charles Bezerra Martins
1991;Técnicas Alternativas Para Resolução De Um Problema De Programação Linear;Neudson Cavalcante Albuquerque
1991;Técnicas Alternativas Para Resolução De Um Problema De Programação Linear;Rodrigo Moraes L De Araújo Costa
1992;De Um Problema De Programação Linear Geral Para A Forma Restrita De Karmarkar;Plácido Rogerio Pinheiro
1992;De Um Problema De Programação Linear Geral Para A Forma Restrita De Karmarkar;Neudson Cavalcante Albuquerque
1992;Uma Relaxação Do Método De Nível;Plácido Rogerio Pinheiro
1992;Uma Relaxação Do Método De Nível;Suzana Scheiberg
1992;Uma Relaxação Do Método De Nível;Gudelia Baluarte Morales
1992;Uma Relaxação Do Método De Nível;Marli Cardia
1993;Problemas De Grande Porte: Uma Abordagem Aplicada A Programação Linear;Plácido Rogerio Pinheiro
1996;Conception Realisation Et Evaluation D Interfaces A Partir Des Specifications Conceptuelles;Maria Elizabeth Sucupira Furtado
1996;Knowledge Acquisition Via Multi-Perspective Concept Formation;Joao Jose Vasco Peixoto Furtado
1996;Knowledge Acquisition Via Multi-Perspective Concept Formation;Colette Faucher
1996;Knowledge Acquisition Via Multi-Perspective Concept Formation;Eugene Chouraqui
1997;Development Of A Computer System For Prediction Of Difficult Laryngoscopy;Maria Andréia Formico Rodrigues
1997;Development Of A Computer System For Prediction Of Difficult Laryngoscopy;D F Gillies
1997;Development Of A Computer System For Prediction Of Difficult Laryngoscopy;Peter Charters
1997;Development Of A Computer System For Prediction Of Difficult Laryngoscopy;Richard Marks
1998;An Updated 2D Model For Anatomical/Blade Interaction In Tracheal Intubation;Peter Charters
1998;An Updated 2D Model For Anatomical/Blade Interaction In Tracheal Intubation;Peter Groom
1998;An Updated 2D Model For Anatomical/Blade Interaction In Tracheal Intubation;Maria Andréia Formico Rodrigues
1998;An Updated 2D Model For Anatomical/Blade Interaction In Tracheal Intubation;Duncan F Gillies
1998;Modelling And Simulation Of The Tongue During Laryngoscopy;Maria Andréia Formico Rodrigues
1998;Modelling And Simulation Of The Tongue During Laryngoscopy;Duncan Gillies
1998;Modelling And Simulation Of The Tongue During Laryngoscopy;Peter Charters
1999;Development Of A Physical Model Of The Laryngoscopy Procedure;Maria Andréia Formico Rodrigues
1999;Development Of A Physical Model Of The Laryngoscopy Procedure;D F Gillies
1999;Development Of A Physical Model Of The Laryngoscopy Procedure;Peter Charters
2000;A Biomechanical Model Of The Upper Airways For Simulating Laryngoscopy;Maria Andréia Formico Rodrigues
2000;A Biomechanical Model Of The Upper Airways For Simulating Laryngoscopy;Duncan Gillies
2000;A Biomechanical Model Of The Upper Airways For Simulating Laryngoscopy;Peter Charters
2000;Aplicações Gráficas Em Medicina: Técnicas E Modelos Realistas De Deformação;Maria Andréia Formico Rodrigues
2000;Projeto Automático De Interfaces Homem-Computador Orientado Ao Usuário E Integrando Fatores Humanos;Maria Elizabeth Sucupira Furtado
2001;An Approach For Recovering Distributed System Architectures;Nabor Das Chagas Mendonça
2001;An Approach For Recovering Distributed System Architectures;Jeff Kramer
2001;Emergence Of Multiagent Spatial Coordination Strategies Via Artificial Coevolution;André Luís Vasconcelos Coelho
2001;Emergence Of Multiagent Spatial Coordination Strategies Via Artificial Coevolution;Daniel Weingaertner
2001;Emergence Of Multiagent Spatial Coordination Strategies Via Artificial Coevolution;Ricardo Gudwin
2001;Emergence Of Multiagent Spatial Coordination Strategies Via Artificial Coevolution;Ivan Luiz Marques Ricarte
2001;Um Sistema De Aprendizagem Colaborativa De Didática Utilizando Cenários;Elizabeth Furtado
2001;Um Sistema De Aprendizagem Colaborativa De Didática Utilizando Cenários;Fernando Lincoln
2001;Um Sistema De Aprendizagem Colaborativa De Didática Utilizando Cenários;Vasco Furtado
2001;Um Sistema De Aprendizagem Colaborativa De Didática Utilizando Cenários;Raimir Holanda Filho
2001;Um Sistema De Aprendizagem Colaborativa De Didática Utilizando Cenários;Maria Elizabeth Sucupira Furtado
2001;Um Sistema De Aprendizagem Colaborativa De Didática Utilizando Cenários;Fernando Lincoln Mattos
2001;Um Sistema De Aprendizagem Colaborativa De Didática Utilizando Cenários;João José Vasco Peixoto Furtado
2001;Um Sistema De Aprendizagem Colaborativa De Didática Utilizando Cenários;Raimir Holanda
2001;Um Sistema De Aprendizagem Colaborativa Utilizando Cenários;Maria Elizabeth Sucupira Furtado
2001;Um Sistema De Aprendizagem Colaborativa Utilizando Cenários;Fernando Lincoln Matos
2001;Um Sistema De Aprendizagem Colaborativa Utilizando Cenários;Joao Jose Vasco Peixoto Furtado
2001;Um Sistema De Aprendizagem Colaborativa Utilizando Cenários;Raimir Holanda
2002;Alternative Approach For Non-Linear Drying Problems;João Batista Furlan Duarte
2002;Alternative Approach For Non-Linear Drying Problems;J W Ribeiro
2002;Alternative Approach For Non-Linear Drying Problems;Lobo P D C
2002;Designing Universal User Interfaces Through An Ontology-Based Method;Maria Elizabeth Sucupira Furtado
2002;Designing Universal User Interfaces Through An Ontology-Based Method;Jean Vanderdonckt
2002;Industrial Burners Testing And Combustions Efficiency Analysis;João Manoel Pimenta
2002;Industrial Burners Testing And Combustions Efficiency Analysis;Lutero Carmo De Lima
2002;Industrial Burners Testing And Combustions Efficiency Analysis;João Batista Furlan Duarte
2002;Industrial Burners Testing And Combustions Efficiency Analysis;Roberto Menescal Macedo
2002;Realistic Deformable Models For Simulating The Procedure Of Laryngoscopy;Maria Andréia Formico Rodrigues
2002;Realistic Deformable Models For Simulating The Procedure Of Laryngoscopy;Duncan F Gillies
2002;Realistic Deformable Models For Simulating The Procedure Of Laryngoscopy;Y F Lam
2002;Realistic Deformable Models For Simulating The Procedure Of Laryngoscopy;Peter Charters
2002;Realistic Deformable Models For Simulating The Procedure Of Laryngoscopy;Peter Groom
2002;The Effect Of Pressure In 2D Luikov Drying Problem;João Batista Furlan Duarte
2002;The Effect Of Pressure In 2D Luikov Drying Problem;J W Ribeiro
2002;The Effect Of Pressure In 2D Luikov Drying Problem;Lutero Carmo De Lima
2002;The Effect Of Pressure In 2D Luikov Drying Problem;João Manoel Pimenta
2003;Design Parameter Of A Vortical (Swirler) Radial And Axial Flame Holder;Heraldo Da Silva Couto
2003;Design Parameter Of A Vortical (Swirler) Radial And Axial Flame Holder;João Batista Furlan Duarte
2003;Design Parameter Of A Vortical (Swirler) Radial And Axial Flame Holder;Lutero Carmo De Lima
2003;Ensembles Of Support Vector Machines For Classification Tasks With Reduced Training Sets;Clodoaldo Ap Moraes De Lima
2003;Ensembles Of Support Vector Machines For Classification Tasks With Reduced Training Sets;André Luís Vasconcelos Coelho
2003;Ensembles Of Support Vector Machines For Classification Tasks With Reduced Training Sets;Fernando Von Zuben
2003;Gestão Participativa Orçamento Eficaz;Plácido Rogerio Pinheiro
2003;Gestão Participativa Orçamento Eficaz;Teresa Cristina Neves De Pinho
2003;Realistic Computer Graphics Models For Simulation And Training Of Cirurgical Procedures;Maria Andréia Formico Rodrigues
2003;Realistic Computer Graphics Models For Simulation And Training Of Cirurgical Procedures;Duncan F Gillies
